id	client_asset_id	Category(old_heading)	action_text (old_heading)	action_sub_text (old_description)	(image_offer_card/icon card level) old_one	New Image	status(true for live)	Category(new_heading)	action_text (new_heading)	action_sub_text (new_description)	(image_offer_card/icon card level) new_one	post_action_text	post_action_sub_text	header	sub_header	tags	props	tnc	tnc_updated	create_time	update_time
1	1	Watch and Earn	Watch videos	Free coins daily			Live	Watch and Earn	Watch videos	Free coins daily						{}	{}	"<div class='EligibilityGuideDiv'>
  <div class='EligibilityGuideTitle'>
    Eligibility Guide
  </div>
  <ul class='EligibilityGuideText'>
    <li>
      Please complete the task to earn rewards.
    </li>
  </ul>
  <hr></hr>
</div>
<div class='RewardConditionDiv'>
  <div class='RewardConditionTitle'>
    Reward Conditions
  </div>
  <ul class='RewardConditionText'>
    <li>
      Partner, not PocketFM sets offer rules and requirements and determines offer eligibility and completion
    </li>
    <li>
      Once you complete the offer, the reward is typically delivered in less than an hour, unless otherwise specified above
    </li>
  </ul>
</div>"		04/11/25 14:38	04/11/25 14:38
2	2	Offer Wall	Complete tasks on third-party platform	Up to	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp		Live	Offer Wall	Complete tasks on third-party platform	Up to <Coin logo> 250 daily	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp					{}	{}	"<div class='EligibilityGuideDiv'>
  <div class='EligibilityGuideTitle'>
    Eligibility Guide
  </div>
  <ul class='EligibilityGuideText'>
    <li>
      Please complete the task to earn rewards.
    </li>
  </ul>
  <hr></hr>
</div>
<div class='RewardConditionDiv'>
  <div class='RewardConditionTitle'>
    Reward Conditions
  </div>
  <ul class='RewardConditionText'>
    <li>
      Partner, not PocketFM sets offer rules and requirements and determines offer eligibility and completion
    </li>
    <li>
      Once you complete the offer, the reward is typically delivered in less than an hour, unless otherwise specified above
    </li>
  </ul>
</div>"		04/11/25 14:38	04/11/25 14:38
3	3	Offer Wall	Complete tasks on third-party platform	Up to 250 daily	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp		Live	Offer Wall	Complete tasks on third-party platform	Up to <Coin logo> 250 daily	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp					{}	{}	"<div class='EligibilityGuideDiv'>
  <div class='EligibilityGuideTitle'>
    Eligibility Guide
  </div>
  <ul class='EligibilityGuideText'>
    <li>
      Please complete the task to earn rewards.
    </li>
  </ul>
  <hr></hr>
</div>
<div class='RewardConditionDiv'>
  <div class='RewardConditionTitle'>
    Reward Conditions
  </div>
  <ul class='RewardConditionText'>
    <li>
      Partner, not PocketFM sets offer rules and requirements and determines offer eligibility and completion
    </li>
    <li>
      Once you complete the offer, the reward is typically delivered in less than an hour, unless otherwise specified above
    </li>
  </ul>
</div>"		04/11/25 14:38	04/11/25 14:38
4	4	Offer Wall	Take surveys on third-party platform	Up to 100	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp		Not live	Offer Wall	Take surveys on third-party platform	<Coin logo> 100	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp					{}	{}	"<div class='EligibilityGuideDiv'>
  <div class='EligibilityGuideTitle'>
    Eligibility Guide
  </div>
  <ul class='EligibilityGuideText'>
    <li>
      Please complete the task to earn rewards.
    </li>
  </ul>
  <hr></hr>
</div>
<div class='RewardConditionDiv'>
  <div class='RewardConditionTitle'>
    Reward Conditions
  </div>
  <ul class='RewardConditionText'>
    <li>
      Partner, not PocketFM sets offer rules and requirements and determines offer eligibility and completion
    </li>
    <li>
      Once you complete the offer, the reward is typically delivered in less than an hour, unless otherwise specified above
    </li>
  </ul>
</div>"		04/11/25 14:38	04/11/25 14:38
5	5	Offer Wall	Complete tasks on Pocket FM / Complete tasks on third-party platform	5	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp		Live	Offer Wall	Complete tasks on Pocket FM / Complete tasks on third-party platform	<Coin logo> 5	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp					{}	{}	"<div class='EligibilityGuideDiv'>
  <div class='EligibilityGuideTitle'>
    Eligibility Guide
  </div>
  <ul class='EligibilityGuideText'>
    <li>
      Please complete the task to earn rewards.
    </li>
  </ul>
  <hr></hr>
</div>
<div class='RewardConditionDiv'>
  <div class='RewardConditionTitle'>
    Reward Conditions
  </div>
  <ul class='RewardConditionText'>
    <li>
      Partner, not PocketFM sets offer rules and requirements and determines offer eligibility and completion
    </li>
    <li>
      Once you complete the offer, the reward is typically delivered in less than an hour, unless otherwise specified above
    </li>
  </ul>
</div>"		04/11/25 14:38	04/11/25 14:38
6	6	Offer Wall	Complete tasks on Pocket FM	5	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp		Not live	Offer Wall	Complete tasks on Pocket FM	<Coin logo> 5	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp					{}	{}	"<div class='EligibilityGuideDiv'>
  <div class='EligibilityGuideTitle'>
    Eligibility Guide
  </div>
  <ul class='EligibilityGuideText'>
    <li>
      Please complete the task to earn rewards.
    </li>
  </ul>
  <hr></hr>
</div>
<div class='RewardConditionDiv'>
  <div class='RewardConditionTitle'>
    Reward Conditions
  </div>
  <ul class='RewardConditionText'>
    <li>
      Partner, not PocketFM sets offer rules and requirements and determines offer eligibility and completion
    </li>
    <li>
      Once you complete the offer, the reward is typically delivered in less than an hour, unless otherwise specified above
    </li>
  </ul>
</div>"		04/11/25 14:38	04/11/25 14:38
7	7	Offer Wall	Take surveys on third-party platform	Up to 100	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp		Not live	Offer Wall	Take surveys on third-party platform	<Coin logo> 100	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp					{}	{}	"<div class='EligibilityGuideDiv'>
  <div class='EligibilityGuideTitle'>
    Eligibility Guide
  </div>
  <ul class='EligibilityGuideText'>
    <li>
      Please complete the task to earn rewards.
    </li>
  </ul>
  <hr></hr>
</div>
<div class='RewardConditionDiv'>
  <div class='RewardConditionTitle'>
    Reward Conditions
  </div>
  <ul class='RewardConditionText'>
    <li>
      Partner, not PocketFM sets offer rules and requirements and determines offer eligibility and completion
    </li>
    <li>
      Once you complete the offer, the reward is typically delivered in less than an hour, unless otherwise specified above
    </li>
  </ul>
</div>"		04/11/25 14:38	04/11/25 14:38
8	8	Offer Wall	Earn Pocket Coins	Up to 250 daily	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp		Not live	Offer Wall	Earn Pocket Coins	Up to <Coin logo> 250 daily	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp					{}	{}	"<div class='EligibilityGuideDiv'>
  <div class='EligibilityGuideTitle'>
    Eligibility Guide
  </div>
  <ul class='EligibilityGuideText'>
    <li>
      Please complete the task to earn rewards.
    </li>
  </ul>
  <hr></hr>
</div>
<div class='RewardConditionDiv'>
  <div class='RewardConditionTitle'>
    Reward Conditions
  </div>
  <ul class='RewardConditionText'>
    <li>
      Partner, not PocketFM sets offer rules and requirements and determines offer eligibility and completion
    </li>
    <li>
      Once you complete the offer, the reward is typically delivered in less than an hour, unless otherwise specified above
    </li>
  </ul>
</div>"		04/11/25 14:38	04/11/25 14:38
9	9	Offer Wall	Earn Pocket Coins	Up to 5 daily	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp		Not live	Offer Wall	Earn Pocket Coins	Up to <Coin logo> 5 daily	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp					{}	{}	"<div class='EligibilityGuideDiv'>
  <div class='EligibilityGuideTitle'>
    Eligibility Guide
  </div>
  <ul class='EligibilityGuideText'>
    <li>
      Please complete the task to earn rewards.
    </li>
  </ul>
  <hr></hr>
</div>
<div class='RewardConditionDiv'>
  <div class='RewardConditionTitle'>
    Reward Conditions
  </div>
  <ul class='RewardConditionText'>
    <li>
      Partner, not PocketFM sets offer rules and requirements and determines offer eligibility and completion
    </li>
    <li>
      Once you complete the offer, the reward is typically delivered in less than an hour, unless otherwise specified above
    </li>
  </ul>
</div>"		04/11/25 14:38	04/11/25 14:38
10	10	Offer Wall	Earn Pocket Coins	Up to 5 daily	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp		Not live	Offer Wall	Earn Pocket Coins	Up to <Coin logo> 5 daily	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp					{}	{}	"<div class='EligibilityGuideDiv'>
  <div class='EligibilityGuideTitle'>
    Eligibility Guide
  </div>
  <ul class='EligibilityGuideText'>
    <li>
      Please complete the task to earn rewards.
    </li>
  </ul>
  <hr></hr>
</div>
<div class='RewardConditionDiv'>
  <div class='RewardConditionTitle'>
    Reward Conditions
  </div>
  <ul class='RewardConditionText'>
    <li>
      Partner, not PocketFM sets offer rules and requirements and determines offer eligibility and completion
    </li>
    <li>
      Once you complete the offer, the reward is typically delivered in less than an hour, unless otherwise specified above
    </li>
  </ul>
</div>"		04/11/25 14:38	04/11/25 14:38
11	11	Social Media	Follow Pocket TV on Instagram	5	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp		Not live	Social Media	Follow Pocket TV on Instagram	<Coin logo> 5	https://djhonz7dexnot.cloudfront.net/aaec1abeadecaf81e9a019c06292dc8a99136b30.webp					{}	{}	"<div class='EligibilityGuideDiv'>
  <div class='EligibilityGuideTitle'>
    Eligibility Guide
  </div>
  <ul class='EligibilityGuideText'>
    <li>
      5 coins will be credited to your Pocket FM wallet within 24 hours of successful follow.
    </li>
    <li>
      Each user can claim this reward only once.
    </li>
  </ul>
  <hr></hr>
</div>
<div class='RewardConditionDiv'>
  <div class='RewardConditionTitle'>
    Reward Conditions
  </div>
  <ul class='RewardConditionText'>
    <li>
      Partner, not PocketFM sets offer rules and requirements and determines offer eligibility and completion
    </li>
    <li>
      Once you complete the offer, the reward is typically delivered in less than an hour, unless otherwise specified above
    </li>
  </ul>
</div>"		04/11/25 14:38	04/11/25 14:38
